Team,ERA,AVG,OBP,OPS,H,R,ER,HR,BB,SO,AVG_BATTING,OBS_BATTING,AB_BATTING,R_BATTING,H_BATTING,2B_BATTING,3B_BATTING,HR_BATTING,BB_BATTING,SO_BATTING,W,L,W/L %,Playoffs
 Cincinnati 2017,5.17,0.263,0.345,0.81,1442,869,821,248,631,1300,0.253,0.761,5484,753,1390,249,38,219,565,1329,68,94,0.42,No
 Cleveland 2017,3.3,0.236,0.294,0.673,1267,564,529,163,406,1614,0.263,0.788,5511,818,1449,333,29,212,604,1153,102,60,0.63,Yes
 Colorado 2017,4.51,0.264,0.332,0.771,1453,757,721,190,532,1270,0.273,0.781,5534,824,1510,293,38,192,519,1408,87,65,0.572,Yes
 Detroit 2017,5.39,0.283,0.348,0.811,1588,894,850,218,538,1202,0.258,0.748,5556,735,1435,289,35,187,503,1313,64,98,0.395,No
Houston 2017,4.12,0.24,0.313,0.72,1314,700,662,192,522,1593,0.282,0.823,5611,896,1581,346,20,238,509,1087,101,61,0.623,Yes
 Kansas City 2017,4.61,0.265,0.331,0.765,1480,791,737,196,519,1216,0.259,0.731,5536,702,1436,260,24,193,390,1166,80,82,0.494,No
 LA Angels 2017,4.2,0.251,0.314,0.744,1373,709,672,224,470,1312,0.243,0.712,5415,710,1314,251,14,186,523,1198,80,82,0.494,No
 LA Dodgers 2017,3.38,0.228,0.29,0.671,1226,580,543,184,442,1549,0.249,0.771,5408,770,1347,312,20,221,649,1380,104,58,0.642,Yes
 Miami 2017,4.82,0.263,0.344,0.776,1450,822,772,193,627,1202,0.267,0.761,5602,778,1497,271,31,194,486,1282,77,85,0.475,No
 Milwaukee 2017,4,0.252,0.326,0.741,1381,697,642,185,553,1346,0.249,0.751,5467,732,1363,267,22,224,547,1571,86,76,0.531,No
 Minnesota 2017,4.59,0.266,0.33,0.776,1487,788,732,224,483,1166,0.26,0.768,5557,815,1444,286,31,206,593,1342,85,77,0.525,Yes
